grant_id,title,funder,amount,description,deadline,url
GRANT-2026597,Research Grant: Next-Generation Quantum Computing Core Systems,National Science Foundation (NSF),"$1,755,000","This funding opportunity aims to accelerate research in the field of Quantum Computing. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100097
GRANT-2026598,Research Grant: Next-Generation Data Science Core Systems,National Science Foundation (NSF),"$1,770,000","This funding opportunity aims to accelerate research in the field of Data Science. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100098
GRANT-2026599,Research Grant: Next-Generation Renewable Energy Core Systems,National Science Foundation (NSF),"$1,785,000","This funding opportunity aims to accelerate research in the field of Renewable Energy. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100099
GRANT-2026600,Research Grant: Next-Generation Physics Core Systems,National Science Foundation (NSF),"$1,800,000","This funding opportunity aims to accelerate research in the field of Physics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100100
GRANT-2026601,Research Grant: Next-Generation Medical Diagnostics Core Systems,National Science Foundation (NSF),"$1,815,000","This funding opportunity aims to accelerate research in the field of Medical Diagnostics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100101
GRANT-2026602,Research Grant: Next-Generation Electrical Engineering Core Systems,National Science Foundation (NSF),"$1,830,000","This funding opportunity aims to accelerate research in the field of Electrical Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100102
GRANT-2026603,Research Grant: Next-Generation Mechanical Engineering Core Systems,National Science Foundation (NSF),"$1,845,000","This funding opportunity aims to accelerate research in the field of Mechanical Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100103
GRANT-2026604,Research Grant: Next-Generation Computer Vision Core Systems,National Science Foundation (NSF),"$1,860,000","This funding opportunity aims to accelerate research in the field of Computer Vision. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100104
GRANT-2026605,Research Grant: Next-Generation Natural Language Processing Core Systems,National Science Foundation (NSF),"$1,875,000","This funding opportunity aims to accelerate research in the field of Natural Language Processing. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100105
GRANT-2026606,Research Grant: Next-Generation Deep Learning Core Systems,National Science Foundation (NSF),"$1,890,000","This funding opportunity aims to accelerate research in the field of Deep Learning. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100106
GRANT-2026607,Research Grant: Next-Generation Cyber Security Core Systems,National Science Foundation (NSF),"$1,905,000","This funding opportunity aims to accelerate research in the field of Cyber Security. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100107
GRANT-2026608,Research Grant: Next-Generation Chemistry Core Systems,National Science Foundation (NSF),"$1,920,000","This funding opportunity aims to accelerate research in the field of Chemistry. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100108
GRANT-2026609,Research Grant: Next-Generation Biotechnology Core Systems,National Science Foundation (NSF),"$1,935,000","This funding opportunity aims to accelerate research in the field of Biotechnology. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100109
GRANT-2026610,Research Grant: Next-Generation Mathematics Core Systems,National Science Foundation (NSF),"$1,950,000","This funding opportunity aims to accelerate research in the field of Mathematics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100110
GRANT-2026611,Research Grant: Next-Generation Healthcare Core Systems,National Science Foundation (NSF),"$1,965,000","This funding opportunity aims to accelerate research in the field of Healthcare. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100111
GRANT-2026612,Research Grant: Next-Generation Software Engineering Core Systems,National Science Foundation (NSF),"$1,980,000","This funding opportunity aims to accelerate research in the field of Software Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100112
GRANT-2026613,Research Grant: Next-Generation Robotics Core Systems,National Science Foundation (NSF),"$1,995,000","This funding opportunity aims to accelerate research in the field of Robotics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100113
GRANT-2026614,Research Grant: Next-Generation Quantum Computing Core Systems,National Science Foundation (NSF),"$2,010,000","This funding opportunity aims to accelerate research in the field of Quantum Computing. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100114
GRANT-2026615,Research Grant: Next-Generation Data Science Core Systems,National Science Foundation (NSF),"$2,025,000","This funding opportunity aims to accelerate research in the field of Data Science. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100115
GRANT-2026616,Research Grant: Next-Generation Renewable Energy Core Systems,National Science Foundation (NSF),"$2,040,000","This funding opportunity aims to accelerate research in the field of Renewable Energy. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100116
GRANT-2026617,Research Grant: Next-Generation Physics Core Systems,National Science Foundation (NSF),"$2,055,000","This funding opportunity aims to accelerate research in the field of Physics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100117
GRANT-2026618,Research Grant: Next-Generation Medical Diagnostics Core Systems,National Science Foundation (NSF),"$2,070,000","This funding opportunity aims to accelerate research in the field of Medical Diagnostics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100118
GRANT-2026619,Research Grant: Next-Generation Electrical Engineering Core Systems,National Science Foundation (NSF),"$2,085,000","This funding opportunity aims to accelerate research in the field of Electrical Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100119
GRANT-2026620,Research Grant: Next-Generation Mechanical Engineering Core Systems,National Science Foundation (NSF),"$2,100,000","This funding opportunity aims to accelerate research in the field of Mechanical Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100120
GRANT-2026621,Research Grant: Next-Generation Computer Vision Core Systems,National Science Foundation (NSF),"$2,115,000","This funding opportunity aims to accelerate research in the field of Computer Vision. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100121
GRANT-2026622,Research Grant: Next-Generation Natural Language Processing Core Systems,National Science Foundation (NSF),"$2,130,000","This funding opportunity aims to accelerate research in the field of Natural Language Processing. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100122
GRANT-2026623,Research Grant: Next-Generation Deep Learning Core Systems,National Science Foundation (NSF),"$2,145,000","This funding opportunity aims to accelerate research in the field of Deep Learning. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100123
GRANT-2026624,Research Grant: Next-Generation Cyber Security Core Systems,National Science Foundation (NSF),"$2,160,000","This funding opportunity aims to accelerate research in the field of Cyber Security. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100124
GRANT-2026625,Research Grant: Next-Generation Chemistry Core Systems,National Science Foundation (NSF),"$2,175,000","This funding opportunity aims to accelerate research in the field of Chemistry. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100125
GRANT-2026626,Research Grant: Next-Generation Biotechnology Core Systems,National Science Foundation (NSF),"$2,190,000","This funding opportunity aims to accelerate research in the field of Biotechnology. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100126
GRANT-2026627,Research Grant: Next-Generation Mathematics Core Systems,National Science Foundation (NSF),"$2,205,000","This funding opportunity aims to accelerate research in the field of Mathematics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100127
GRANT-2026628,Research Grant: Next-Generation Healthcare Core Systems,National Science Foundation (NSF),"$2,220,000","This funding opportunity aims to accelerate research in the field of Healthcare. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100128
GRANT-2026629,Research Grant: Next-Generation Software Engineering Core Systems,National Science Foundation (NSF),"$2,235,000","This funding opportunity aims to accelerate research in the field of Software Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100129
GRANT-2026630,Research Grant: Next-Generation Robotics Core Systems,National Science Foundation (NSF),"$2,250,000","This funding opportunity aims to accelerate research in the field of Robotics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100130
GRANT-2026631,Research Grant: Next-Generation Quantum Computing Core Systems,National Science Foundation (NSF),"$2,265,000","This funding opportunity aims to accelerate research in the field of Quantum Computing. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100131
GRANT-2026632,Research Grant: Next-Generation Data Science Core Systems,National Science Foundation (NSF),"$2,280,000","This funding opportunity aims to accelerate research in the field of Data Science. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100132
GRANT-2026633,Research Grant: Next-Generation Renewable Energy Core Systems,National Science Foundation (NSF),"$2,295,000","This funding opportunity aims to accelerate research in the field of Renewable Energy. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100133
GRANT-2026634,Research Grant: Next-Generation Physics Core Systems,National Science Foundation (NSF),"$2,310,000","This funding opportunity aims to accelerate research in the field of Physics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100134
GRANT-2026635,Research Grant: Next-Generation Medical Diagnostics Core Systems,National Science Foundation (NSF),"$2,325,000","This funding opportunity aims to accelerate research in the field of Medical Diagnostics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100135
GRANT-2026636,Research Grant: Next-Generation Electrical Engineering Core Systems,National Science Foundation (NSF),"$2,340,000","This funding opportunity aims to accelerate research in the field of Electrical Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100136
GRANT-2026637,Research Grant: Next-Generation Mechanical Engineering Core Systems,National Science Foundation (NSF),"$2,355,000","This funding opportunity aims to accelerate research in the field of Mechanical Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100137
GRANT-2026638,Research Grant: Next-Generation Computer Vision Core Systems,National Science Foundation (NSF),"$2,370,000","This funding opportunity aims to accelerate research in the field of Computer Vision. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100138
GRANT-2026639,Research Grant: Next-Generation Natural Language Processing Core Systems,National Science Foundation (NSF),"$2,385,000","This funding opportunity aims to accelerate research in the field of Natural Language Processing. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100139
GRANT-2026640,Research Grant: Next-Generation Deep Learning Core Systems,National Science Foundation (NSF),"$2,400,000","This funding opportunity aims to accelerate research in the field of Deep Learning. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100140
GRANT-2026641,Research Grant: Next-Generation Cyber Security Core Systems,National Science Foundation (NSF),"$2,415,000","This funding opportunity aims to accelerate research in the field of Cyber Security. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100141
GRANT-2026642,Research Grant: Next-Generation Chemistry Core Systems,National Science Foundation (NSF),"$2,430,000","This funding opportunity aims to accelerate research in the field of Chemistry. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100142
GRANT-2026643,Research Grant: Next-Generation Biotechnology Core Systems,National Science Foundation (NSF),"$2,445,000","This funding opportunity aims to accelerate research in the field of Biotechnology. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100143
GRANT-2026644,Research Grant: Next-Generation Mathematics Core Systems,National Science Foundation (NSF),"$2,460,000","This funding opportunity aims to accelerate research in the field of Mathematics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100144
GRANT-2026645,Research Grant: Next-Generation Healthcare Core Systems,National Science Foundation (NSF),"$2,475,000","This funding opportunity aims to accelerate research in the field of Healthcare. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100145
GRANT-2026646,Research Grant: Next-Generation Software Engineering Core Systems,National Science Foundation (NSF),"$2,490,000","This funding opportunity aims to accelerate research in the field of Software Engineering. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100146
GRANT-2026647,Research Grant: Next-Generation Robotics Core Systems,National Science Foundation (NSF),"$2,505,000","This funding opportunity aims to accelerate research in the field of Robotics. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100147
GRANT-2026648,Research Grant: Next-Generation Quantum Computing Core Systems,National Science Foundation (NSF),"$2,520,000","This funding opportunity aims to accelerate research in the field of Quantum Computing. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100148
GRANT-2026649,Research Grant: Next-Generation Data Science Core Systems,National Science Foundation (NSF),"$2,535,000","This funding opportunity aims to accelerate research in the field of Data Science. Proposals should focus on novel algorithmic designs, data scalability, and energy-efficient hardware implementations.",2026-11-15,https://www.grants.gov/search-grants?id=100149
